nom_commune,code_postal,ville_cp
ILE TUDY,29980,ILE TUDY (29980)
IRVILLAC,29460,IRVILLAC (29460)
LE JUCH,29100,LE JUCH (29100)
KERGLOFF,29270,KERGLOFF (29270)
KERLAZ,29100,KERLAZ (29100)
KERLOUAN,29890,KERLOUAN (29890)
KERNILIS,29260,KERNILIS (29260)
KERNOUES,29260,KERNOUES (29260)
KERSAINT PLABENNEC,29860,KERSAINT PLABENNEC (29860)
LAMPAUL GUIMILIAU,29400,LAMPAUL GUIMILIAU (29400)
LAMPAUL PLOUARZEL,29810,LAMPAUL PLOUARZEL (29810)
LAMPAUL PLOUDALMEZEAU,29830,LAMPAUL PLOUDALMEZEAU (29830)
LANARVILY,29260,LANARVILY (29260)
LANDEDA,29870,LANDEDA (29870)
LANDELEAU,29530,LANDELEAU (29530)
LANDERNEAU,29800,LANDERNEAU (29800)
LANDEVENNEC,29560,LANDEVENNEC (29560)
LANDIVISIAU,29400,LANDIVISIAU (29400)
LANDREVARZEC,29510,LANDREVARZEC (29510)
LANDUDAL,29510,LANDUDAL (29510)
LANDUDEC,29710,LANDUDEC (29710)
LANDUNVEZ,29840,LANDUNVEZ (29840)
LANGOLEN,29510,LANGOLEN (29510)
LANHOUARNEAU,29430,LANHOUARNEAU (29430)
LANILDUT,29840,LANILDUT (29840)
LANMEUR,29620,LANMEUR (29620)
LANNEANOU,29640,LANNEANOU (29640)
LANNEDERN,29190,LANNEDERN (29190)
LANNEUFFRET,29400,LANNEUFFRET (29400)
LANNILIS,29870,LANNILIS (29870)
LANRIVOARE,29290,LANRIVOARE (29290)
LANVEOC,29160,LANVEOC (29160)
LAZ,29520,LAZ (29520)
LENNON,29190,LENNON (29190)
LESNEVEN,29260,LESNEVEN (29260)
LEUHAN,29390,LEUHAN (29390)
LOC BREVALAIRE,29260,LOC BREVALAIRE (29260)
LOC EGUINER,29400,LOC EGUINER (29400)
LOCMARIA PLOUZANE,29280,LOCMARIA PLOUZANE (29280)
LOCMELAR,29400,LOCMELAR (29400)
LOCQUENOLE,29670,LOCQUENOLE (29670)
LOCQUIREC,29241,LOCQUIREC (29241)
LOCRONAN,29180,LOCRONAN (29180)
LOCTUDY,29750,LOCTUDY (29750)
LOCUNOLE,29310,LOCUNOLE (29310)
LOGONNA DAOULAS,29460,LOGONNA DAOULAS (29460)
LOPEREC,29590,LOPEREC (29590)
LOPERHET,29470,LOPERHET (29470)
LOQUEFFRET,29530,LOQUEFFRET (29530)
LOTHEY,29190,LOTHEY (29190)
MAHALON,29790,MAHALON (29790)
LA MARTYRE,29800,LA MARTYRE (29800)
CONFORT MEILARS,29790,CONFORT MEILARS (29790)
MELGVEN,29140,MELGVEN (29140)
MELLAC,29300,MELLAC (29300)
MESPAUL,29420,MESPAUL (29420)
MOELAN SUR MER,29350,MOELAN SUR MER (29350)
MORLAIX,29600,MORLAIX (29600)
MOTREFF,29270,MOTREFF (29270)
NEVEZ,29920,NEVEZ (29920)
OUESSANT,29242,OUESSANT (29242)
PENCRAN,29800,PENCRAN (29800)
PENMARCH,29760,PENMARCH (29760)
PEUMERIT,29710,PEUMERIT (29710)
PLABENNEC,29860,PLABENNEC (29860)
PLEUVEN,29170,PLEUVEN (29170)
PLEYBEN,29190,PLEYBEN (29190)
PLEYBER CHRIST,29410,PLEYBER CHRIST (29410)
PLOBANNALEC LESCONIL,29740,PLOBANNALEC LESCONIL (29740)
PLOEVEN,29550,PLOEVEN (29550)
PLOGASTEL ST GERMAIN,29710,PLOGASTEL ST GERMAIN (29710)
PLOGOFF,29770,PLOGOFF (29770)
PLOGONNEC,29180,PLOGONNEC (29180)
PLOMELIN,29700,PLOMELIN (29700)
PLOMEUR,29120,PLOMEUR (29120)
PLOMODIERN,29550,PLOMODIERN (29550)
PLONEIS,29710,PLONEIS (29710)
PLONEOUR LANVERN,29720,PLONEOUR LANVERN (29720)
PLONEVEZ DU FAOU,29530,PLONEVEZ DU FAOU (29530)
PLONEVEZ PORZAY,29550,PLONEVEZ PORZAY (29550)
PLOUARZEL,29810,PLOUARZEL (29810)
PLOUDALMEZEAU,29830,PLOUDALMEZEAU (29830)
PLOUDANIEL,29260,PLOUDANIEL (29260)
PLOUDIRY,29800,PLOUDIRY (29800)
PLOUEDERN,29800,PLOUEDERN (29800)
PLOUEGAT GUERAND,29620,PLOUEGAT GUERAND (29620)
PLOUEGAT MOYSAN,29650,PLOUEGAT MOYSAN (29650)
PLOUENAN,29420,PLOUENAN (29420)
PLOUESCAT,29430,PLOUESCAT (29430)
PLOUEZOC H,29252,PLOUEZOC H (29252)
PLOUGAR,29440,PLOUGAR (29440)
PLOUGASNOU,29630,PLOUGASNOU (29630)
PLOUGASTEL DAOULAS,29470,PLOUGASTEL DAOULAS (29470)
PLOUGONVELIN,29217,PLOUGONVELIN (29217)
PLOUGONVEN,29640,PLOUGONVEN (29640)
PLOUGOULM,29250,PLOUGOULM (29250)
PLOUGOURVEST,29400,PLOUGOURVEST (29400)
PLOUGUERNEAU,29880,PLOUGUERNEAU (29880)
PLOUGUIN,29830,PLOUGUIN (29830)
PLOUHINEC,29780,PLOUHINEC (29780)
PLOUIDER,29260,PLOUIDER (29260)
PLOUIGNEAU,29610,PLOUIGNEAU (29610)
PLOUIGNEAU,29650,PLOUIGNEAU (29650)
PLOUMOGUER,29810,PLOUMOGUER (29810)
PLOUNEOUR MENEZ,29410,PLOUNEOUR MENEZ (29410)
PLOUNEVENTER,29400,PLOUNEVENTER (29400)
PLOUNEVEZEL,29270,PLOUNEVEZEL (29270)
PLOUNEVEZ LOCHRIST,29430,PLOUNEVEZ LOCHRIST (29430)
PLOURIN LES MORLAIX,29600,PLOURIN LES MORLAIX (29600)
PLOURIN,29830,PLOURIN (29830)
PLOUVIEN,29860,PLOUVIEN (29860)
PLOUVORN,29420,PLOUVORN (29420)
PLOUYE,29690,PLOUYE (29690)
PLOUZANE,29280,PLOUZANE (29280)
PLOUZEVEDE,29440,PLOUZEVEDE (29440)
PLOVAN,29720,PLOVAN (29720)
PLOZEVET,29710,PLOZEVET (29710)
PLUGUFFAN,29700,PLUGUFFAN (29700)
PONT AVEN,29930,PONT AVEN (29930)
PONT CROIX,29790,PONT CROIX (29790)
PONT L ABBE,29120,PONT L ABBE (29120)
PORSPODER,29840,PORSPODER (29840)
PORT LAUNAY,29150,PORT LAUNAY (29150)
POULDERGAT,29100,POULDERGAT (29100)
POULDREUZIC,29710,POULDREUZIC (29710)
POULLAN SUR MER,29100,POULLAN SUR MER (29100)
POULLAOUEN,29246,POULLAOUEN (29246)
POULLAOUEN,29690,POULLAOUEN (29690)
PRIMELIN,29770,PRIMELIN (29770)
QUEMENEVEN,29180,QUEMENEVEN (29180)
QUERRIEN,29310,QUERRIEN (29310)
QUIMPER,29000,QUIMPER (29000)
QUIMPERLE,29300,QUIMPERLE (29300)
REDENE,29300,REDENE (29300)
LE RELECQ KERHUON,29480,LE RELECQ KERHUON (29480)
RIEC SUR BELON,29340,RIEC SUR BELON (29340)
LA ROCHE MAURICE,29800,LA ROCHE MAURICE (29800)
ROSCANVEL,29570,ROSCANVEL (29570)
ROSCOFF,29680,ROSCOFF (29680)
ROSNOEN,29590,ROSNOEN (29590)
ROSPORDEN,29140,ROSPORDEN (29140)
ST COULITZ,29150,ST COULITZ (29150)
ST DERRIEN,29440,ST DERRIEN (29440)
ST DIVY,29800,ST DIVY (29800)
ST ELOY,29460,ST ELOY (29460)
ST EVARZEC,29170,ST EVARZEC (29170)
ST FREGANT,29260,ST FREGANT (29260)
ST GOAZEC,29520,ST GOAZEC (29520)
ST HERNIN,29270,ST HERNIN (29270)
ST JEAN DU DOIGT,29630,ST JEAN DU DOIGT (29630)
ST JEAN TROLIMON,29120,ST JEAN TROLIMON (29120)
ST MARTIN DES CHAMPS,29600,ST MARTIN DES CHAMPS (29600)
ST MEEN,29260,ST MEEN (29260)
ST NIC,29550,ST NIC (29550)
ST PABU,29830,ST PABU (29830)
ST POL DE LEON,29250,ST POL DE LEON (29250)
ST RENAN,29290,ST RENAN (29290)
ST RIVOAL,29190,ST RIVOAL (29190)
ST SAUVEUR,29400,ST SAUVEUR (29400)
ST SEGAL,29590,ST SEGAL (29590)
ST SERVAIS,29400,ST SERVAIS (29400)
STE SEVE,29600,STE SEVE (29600)
ST THEGONNEC LOC EGUINER,29410,ST THEGONNEC LOC EGUINER (29410)
ST THOIS,29520,ST THOIS (29520)
ST THONAN,29800,ST THONAN (29800)
ST THURIEN,29380,ST THURIEN (29380)
ST URBAIN,29800,ST URBAIN (29800)
ST VOUGAY,29440,ST VOUGAY (29440)
ST YVI,29140,ST YVI (29140)
SANTEC,29250,SANTEC (29250)
SCAER,29390,SCAER (29390)
SCRIGNAC,29640,SCRIGNAC (29640)
SIBIRIL,29250,SIBIRIL (29250)
SIZUN,29450,SIZUN (29450)
SPEZET,29540,SPEZET (29540)
TAULE,29670,TAULE (29670)
TELGRUC SUR MER,29560,TELGRUC SUR MER (29560)
TOURCH,29140,TOURCH (29140)
TREBABU,29217,TREBABU (29217)
TREFFIAGAT,29730,TREFFIAGAT (29730)
TREFLAOUENAN,29440,TREFLAOUENAN (29440)
TREFLEVENEZ,29800,TREFLEVENEZ (29800)
TREFLEZ,29430,TREFLEZ (29430)
TREGARANTEC,29260,TREGARANTEC (29260)
TREGARVAN,29560,TREGARVAN (29560)
TREGLONOU,29870,TREGLONOU (29870)
TREGOUREZ,29970,TREGOUREZ (29970)
TREGUENNEC,29720,TREGUENNEC (29720)
TREGUNC,29910,TREGUNC (29910)
LE TREHOU,29450,LE TREHOU (29450)
TREMAOUEZAN,29800,TREMAOUEZAN (29800)
TREMEOC,29120,TREMEOC (29120)
TREMEVEN,29300,TREMEVEN (29300)
TREOGAT,29720,TREOGAT (29720)
TREOUERGAT,29290,TREOUERGAT (29290)
LE TREVOUX,29380,LE TREVOUX (29380)
TREZILIDE,29440,TREZILIDE (29440)
PONT DE BUIS LES QUIMERCH,29590,PONT DE BUIS LES QUIMERCH (29590)
AFA,20167,AFA (20167)
AJACCIO,20000,AJACCIO (20000)
AJACCIO,20090,AJACCIO (20090)
AJACCIO,20167,AJACCIO (20167)
ALATA,20167,ALATA (20167)
ALBITRECCIA,20128,ALBITRECCIA (20128)
ALBITRECCIA,20166,ALBITRECCIA (20166)
ALTAGENE,20112,ALTAGENE (20112)
AMBIEGNA,20151,AMBIEGNA (20151)
APPIETTO,20167,APPIETTO (20167)
ARBELLARA,20110,ARBELLARA (20110)
ARBORI,20160,ARBORI (20160)
ARGIUSTA MORICCIO,20140,ARGIUSTA MORICCIO (20140)
ARRO,20151,ARRO (20151)
AULLENE,20116,AULLENE (20116)
AZILONE AMPAZA,20190,AZILONE AMPAZA (20190)
AZZANA,20121,AZZANA (20121)
BALOGNA,20160,BALOGNA (20160)
BASTELICA,20119,BASTELICA (20119)
BASTELICACCIA,20129,BASTELICACCIA (20129)
BELVEDERE CAMPOMORO,20110,BELVEDERE CAMPOMORO (20110)
BILIA,20100,BILIA (20100)
BOCOGNANO,20136,BOCOGNANO (20136)
BONIFACIO,20169,BONIFACIO (20169)
CALCATOGGIO,20111,CALCATOGGIO (20111)
CAMPO,20142,CAMPO (20142)
CANNELLE,20151,CANNELLE (20151)
CARBINI,20170,CARBINI (20170)
CARBUCCIA,20133,CARBUCCIA (20133)
CARDO TORGIA,20190,CARDO TORGIA (20190)
CARGESE,20130,CARGESE (20130)
CARGIACA,20164,CARGIACA (20164)
CASAGLIONE,20111,CASAGLIONE (20111)
CASALABRIVA,20140,CASALABRIVA (20140)
CAURO,20117,CAURO (20117)
CIAMANNACCE,20134,CIAMANNACCE (20134)
COGGIA,20118,COGGIA (20118)
COGGIA,20160,COGGIA (20160)
COGNOCOLI MONTICCHI,20123,COGNOCOLI MONTICCHI (20123)
COGNOCOLI MONTICCHI,20166,COGNOCOLI MONTICCHI (20166)
CONCA,20135,CONCA (20135)
CORRANO,20168,CORRANO (20168)
COTI CHIAVARI,20138,COTI CHIAVARI (20138)
COZZANO,20148,COZZANO (20148)
CRISTINACCE,20126,CRISTINACCE (20126)
CUTTOLI CORTICCHIATO,20167,CUTTOLI CORTICCHIATO (20167)
ECCICA SUARELLA,20117,ECCICA SUARELLA (20117)
EVISA,20126,EVISA (20126)
FIGARI,20114,FIGARI (20114)
FOCE,20100,FOCE (20100)
FORCIOLO,20190,FORCIOLO (20190)
FOZZANO,20143,FOZZANO (20143)
FRASSETO,20157,FRASSETO (20157)
GIUNCHETO,20100,GIUNCHETO (20100)
GRANACE,20100,GRANACE (20100)
GROSSA,20100,GROSSA (20100)
GROSSETO PRUGNA,20128,GROSSETO PRUGNA (20128)
GROSSETO PRUGNA,20166,GROSSETO PRUGNA (20166)
GUAGNO,20160,GUAGNO (20160)
GUARGUALE,20128,GUARGUALE (20128)
GUITERA LES BAINS,20153,GUITERA LES BAINS (20153)
LECCI,20137,LECCI (20137)
LETIA,20160,LETIA (20160)
LEVIE,20170,LEVIE (20170)
LOPIGNA,20139,LOPIGNA (20139)
LORETO DI TALLANO,20165,LORETO DI TALLANO (20165)
MARIGNANA,20141,MARIGNANA (20141)
MELA,20112,MELA (20112)
MOCA CROCE,20140,MOCA CROCE (20140)
MONACIA D AULLENE,20171,MONACIA D AULLENE (20171)
MURZO,20160,MURZO (20160)
OCANA,20117,OCANA (20117)
OLIVESE,20140,OLIVESE (20140)
OLMETO,20113,OLMETO (20113)
OLMICCIA,20112,OLMICCIA (20112)
ORTO,20125,ORTO (20125)
OSANI,20147,OSANI (20147)
OTA,20150,OTA (20150)
PALNECA,20134,PALNECA (20134)
PARTINELLO,20147,PARTINELLO (20147)
PASTRICCIOLA,20121,PASTRICCIOLA (20121)
PERI,20167,PERI (20167)
PETRETO BICCHISANO,20140,PETRETO BICCHISANO (20140)
PIANA,20115,PIANA (20115)
PIANOTTOLI CALDARELLO,20131,PIANOTTOLI CALDARELLO (20131)
PIETROSELLA,20166,PIETROSELLA (20166)
PILA CANALE,20123,PILA CANALE (20123)
POGGIOLO,20125,POGGIOLO (20125)
POGGIOLO,20160,POGGIOLO (20160)
PORTO VECCHIO,20137,PORTO VECCHIO (20137)
PROPRIANO,20110,PROPRIANO (20110)
QUASQUARA,20142,QUASQUARA (20142)
QUENZA,20122,QUENZA (20122)
RENNO,20160,RENNO (20160)
REZZA,20121,REZZA (20121)
ROSAZIA,20121,ROSAZIA (20121)
SALICE,20121,SALICE (20121)
SAMPOLO,20134,SAMPOLO (20134)
SARI SOLENZARA,20145,SARI SOLENZARA (20145)
SARI D ORCINO,20151,SARI D ORCINO (20151)
SARROLA CARCOPINO,20167,SARROLA CARCOPINO (20167)
SARTENE,20100,SARTENE (20100)
SERRA DI FERRO,20140,SERRA DI FERRO (20140)
SERRA DI SCOPAMENE,20127,SERRA DI SCOPAMENE (20127)
SERRIERA,20147,SERRIERA (20147)
SOCCIA,20125,SOCCIA (20125)
SOLLACARO,20140,SOLLACARO (20140)
SORBOLLANO,20152,SORBOLLANO (20152)
SOTTA,20146,SOTTA (20146)
SANT ANDREA D ORCINO,20151,SANT ANDREA D ORCINO (20151)
SAN GAVINO DI CARBINI,20137,SAN GAVINO DI CARBINI (20137)
SAN GAVINO DI CARBINI,20170,SAN GAVINO DI CARBINI (20170)
STE LUCIE DE TALLANO,20112,STE LUCIE DE TALLANO (20112)
SANTA MARIA FIGANIELLA,20143,SANTA MARIA FIGANIELLA (20143)
SANTA MARIA SICHE,20190,SANTA MARIA SICHE (20190)
TASSO,20134,TASSO (20134)
TAVACO,20167,TAVACO (20167)
TAVERA,20163,TAVERA (20163)
TOLLA,20117,TOLLA (20117)
UCCIANI,20133,UCCIANI (20133)
URBALACONE,20128,URBALACONE (20128)
VALLE DI MEZZANA,20167,VALLE DI MEZZANA (20167)
VERO,20172,VERO (20172)
VICO,20118,VICO (20118)
VICO,20160,VICO (20160)
VIGGIANELLO,20110,VIGGIANELLO (20110)
VILLANOVA,20167,VILLANOVA (20167)
ZERUBIA,20116,ZERUBIA (20116)
ZEVACO,20173,ZEVACO (20173)
ZICAVO,20132,ZICAVO (20132)
ZIGLIARA,20190,ZIGLIARA (20190)
ZONZA,20124,ZONZA (20124)
ZONZA,20144,ZONZA (20144)
ZOZA,20112,ZOZA (20112)
AGHIONE,20270,AGHIONE (20270)
AITI,20244,AITI (20244)
ALANDO,20212,ALANDO (20212)
ALBERTACCE,20224,ALBERTACCE (20224)
ALERIA,20270,ALERIA (20270)
ALGAJOLA,20220,ALGAJOLA (20220)
ALTIANI,20251,ALTIANI (20251)
ALZI,20212,ALZI (20212)
AMPRIANI,20272,AMPRIANI (20272)
ANTISANTI,20270,ANTISANTI (20270)
AREGNO,20220,AREGNO (20220)
ASCO,20276,ASCO (20276)
AVAPESSA,20225,AVAPESSA (20225)
BARBAGGIO,20253,BARBAGGIO (20253)
BARRETTALI,20228,BARRETTALI (20228)
BASTIA,20200,BASTIA (20200)
BASTIA,20600,BASTIA (20600)
BELGODERE,20226,BELGODERE (20226)
BIGORNO,20252,BIGORNO (20252)
BIGUGLIA,20620,BIGUGLIA (20620)
BISINCHI,20235,BISINCHI (20235)
BORGO,20290,BORGO (20290)
BRANDO,20222,BRANDO (20222)
BUSTANICO,20212,BUSTANICO (20212)
CAGNANO,20228,CAGNANO (20228)
CALACUCCIA,20224,CALACUCCIA (20224)
CALENZANA,20214,CALENZANA (20214)
CALENZANA,20260,CALENZANA (20260)
CALVI,20260,CALVI (20260)
CAMBIA,20244,CAMBIA (20244)
CAMPANA,20229,CAMPANA (20229)
CAMPI,20270,CAMPI (20270)
CAMPILE,20290,CAMPILE (20290)
CAMPITELLO,20252,CAMPITELLO (20252)
CANALE DI VERDE,20230,CANALE DI VERDE (20230)
CANARI,20217,CANARI (20217)
CANAVAGGIA,20235,CANAVAGGIA (20235)
CARCHETO BRUSTICO,20229,CARCHETO BRUSTICO (20229)
CARPINETO,20229,CARPINETO (20229)
CARTICASI,20244,CARTICASI (20244)
CASABIANCA,20237,CASABIANCA (20237)
CASALTA,20215,CASALTA (20215)
CASAMACCIOLI,20224,CASAMACCIOLI (20224)
CASANOVA,20250,CASANOVA (20250)
CASEVECCHIE,20270,CASEVECCHIE (20270)
CASTELLARE DI CASINCA,20213,CASTELLARE DI CASINCA (20213)
CASTELLARE DI MERCURIO,20212,CASTELLARE DI MERCURIO (20212)
CASTELLO DI ROSTINO,20235,CASTELLO DI ROSTINO (20235)
CASTIFAO,20218,CASTIFAO (20218)
CASTIGLIONE,20218,CASTIGLIONE (20218)
CASTINETA,20218,CASTINETA (20218)
CASTIRLA,20236,CASTIRLA (20236)
CATERI,20225,CATERI (20225)
CENTURI,20238,CENTURI (20238)
CERVIONE,20221,CERVIONE (20221)
CHIATRA,20230,CHIATRA (20230)
CORBARA,20220,CORBARA (20220)
CORBARA,20256,CORBARA (20256)
CORSCIA,20224,CORSCIA (20224)
CORTE,20250,CORTE (20250)
COSTA,20226,COSTA (20226)
CROCE,20237,CROCE (20237)
CROCICCHIA,20290,CROCICCHIA (20290)
ERBAJOLO,20212,ERBAJOLO (20212)
ERONE,20244,ERONE (20244)
ERSA,20275,ERSA (20275)
FARINOLE,20253,FARINOLE (20253)
FAVALELLO,20212,FAVALELLO (20212)
FELCE,20234,FELCE (20234)
FELICETO,20225,FELICETO (20225)
FICAJA,20237,FICAJA (20237)
FOCICCHIA,20212,FOCICCHIA (20212)
FURIANI,20600,FURIANI (20600)
GALERIA,20245,GALERIA (20245)
GAVIGNANO,20218,GAVIGNANO (20218)
GHISONACCIA,20240,GHISONACCIA (20240)
GHISONI,20227,GHISONI (20227)
GIOCATOJO,20237,GIOCATOJO (20237)
GIUNCAGGIO,20251,GIUNCAGGIO (20251)
L ILE ROUSSE,20220,L ILE ROUSSE (20220)
ISOLACCIO DI FIUMORBO,20243,ISOLACCIO DI FIUMORBO (20243)
LAMA,20218,LAMA (20218)
LANO,20244,LANO (20244)
LAVATOGGIO,20225,LAVATOGGIO (20225)
LENTO,20252,LENTO (20252)
LINGUIZZETTA,20230,LINGUIZZETTA (20230)
LORETO DI CASINCA,20215,LORETO DI CASINCA (20215)
LOZZI,20224,LOZZI (20224)
LUCCIANA,20290,LUCCIANA (20290)
LUGO DI NAZZA,20240,LUGO DI NAZZA (20240)
LUMIO,20260,LUMIO (20260)
LURI,20228,LURI (20228)
MANSO,20245,MANSO (20245)
MATRA,20270,MATRA (20270)
MAUSOLEO,20259,MAUSOLEO (20259)
MAZZOLA,20212,MAZZOLA (20212)
MERIA,20287,MERIA (20287)
MOITA,20270,MOITA (20270)
MOLTIFAO,20218,MOLTIFAO (20218)
MONACIA D OREZZA,20229,MONACIA D OREZZA (20229)
MONCALE,20214,MONCALE (20214)
MONTE,20290,MONTE (20290)
MONTEGROSSO,20214,MONTEGROSSO (20214)
MONTICELLO,20220,MONTICELLO (20220)
MOROSAGLIA,20218,MOROSAGLIA (20218)
MORSIGLIA,20238,MORSIGLIA (20238)
MURACCIOLE,20219,MURACCIOLE (20219)
MURATO,20239,MURATO (20239)
MURO,20225,MURO (20225)
NESSA,20225,NESSA (20225)
NOCARIO,20229,NOCARIO (20229)
NOCETA,20242,NOCETA (20242)
NONZA,20217,NONZA (20217)
NOVALE,20234,NOVALE (20234)
NOVELLA,20226,NOVELLA (20226)
OCCHIATANA,20226,OCCHIATANA (20226)
OGLIASTRO,20217,OGLIASTRO (20217)
OLCANI,20217,OLCANI (20217)
OLETTA,20232,OLETTA (20232)
OLMETA DI CAPOCORSO,20217,OLMETA DI CAPOCORSO (20217)
OLMETA DI TUDA,20232,OLMETA DI TUDA (20232)
OLMI CAPPELLA,20259,OLMI CAPPELLA (20259)
OLMO,20290,OLMO (20290)
OMESSA,20236,OMESSA (20236)
ORTALE,20234,ORTALE (20234)
ORTIPORIO,20290,ORTIPORIO (20290)
PALASCA,20226,PALASCA (20226)
PANCHERACCIA,20251,PANCHERACCIA (20251)
PANCHERACCIA,20270,PANCHERACCIA (20270)
PARATA,20229,PARATA (20229)
PATRIMONIO,20253,PATRIMONIO (20253)
PENTA ACQUATELLA,20290,PENTA ACQUATELLA (20290)
PENTA DI CASINCA,20213,PENTA DI CASINCA (20213)
PERELLI,20234,PERELLI (20234)
PERO CASEVECCHIE,20230,PERO CASEVECCHIE (20230)
PIANELLO,20272,PIANELLO (20272)
PIANO,20215,PIANO (20215)
PIAZZALI,20234,PIAZZALI (20234)
PIAZZOLE,20229,PIAZZOLE (20229)
PIEDICORTE DI GAGGIO,20251,PIEDICORTE DI GAGGIO (20251)
PIEDICROCE,20229,PIEDICROCE (20229)
PIEDIGRIGGIO,20218,PIEDIGRIGGIO (20218)
PIEDIPARTINO,20229,PIEDIPARTINO (20229)
PIE D OREZZA,20229,PIE D OREZZA (20229)
PIETRALBA,20218,PIETRALBA (20218)
PIETRACORBARA,20233,PIETRACORBARA (20233)
PIETRA DI VERDE,20230,PIETRA DI VERDE (20230)
PIETRASERENA,20251,PIETRASERENA (20251)
PIETRICAGGIO,20234,PIETRICAGGIO (20234)
PIETROSO,20242,PIETROSO (20242)
PIEVE,20246,PIEVE (20246)
PIGNA,20220,PIGNA (20220)
PINO,20228,PINO (20228)
PIOBETTA,20234,PIOBETTA (20234)
PIOGGIOLA,20259,PIOGGIOLA (20259)
POGGIO DI NAZZA,20240,POGGIO DI NAZZA (20240)
POGGIO DI VENACO,20250,POGGIO DI VENACO (20250)
POGGIO D OLETTA,20232,POGGIO D OLETTA (20232)
POGGIO MARINACCIO,20237,POGGIO MARINACCIO (20237)
POGGIO MEZZANA,20230,POGGIO MEZZANA (20230)
POLVEROSO,20229,POLVEROSO (20229)
POPOLASCA,20218,POPOLASCA (20218)
PORRI,20215,PORRI (20215)
LA PORTA,20237,LA PORTA (20237)
PRATO DI GIOVELLINA,20218,PRATO DI GIOVELLINA (20218)
PRUNELLI DI CASACCONI,20290,PRUNELLI DI CASACCONI (20290)
PRUNELLI DI FIUMORBO,20243,PRUNELLI DI FIUMORBO (20243)
PRUNO,20213,PRUNO (20213)
QUERCITELLO,20237,QUERCITELLO (20237)
RAPAGGIO,20229,RAPAGGIO (20229)
RAPALE,20246,RAPALE (20246)
RIVENTOSA,20250,RIVENTOSA (20250)
ROGLIANO,20247,ROGLIANO (20247)
ROGLIANO,20248,ROGLIANO (20248)
ROSPIGLIANI,20242,ROSPIGLIANI (20242)
RUSIO,20244,RUSIO (20244)
RUTALI,20239,RUTALI (20239)
SALICETO,20218,SALICETO (20218)
SCATA,20213,SCATA (20213)
SCOLCA,20290,SCOLCA (20290)
SERMANO,20212,SERMANO (20212)
SERRA DI FIUMORBO,20243,SERRA DI FIUMORBO (20243)
SILVARECCIO,20215,SILVARECCIO (20215)
SISCO,20233,SISCO (20233)
SOLARO,20240,SOLARO (20240)
SORBO OCAGNANO,20213,SORBO OCAGNANO (20213)
SORIO,20246,SORIO (20246)
SOVERIA,20250,SOVERIA (20250)
SPELONCATO,20226,SPELONCATO (20226)
STAZZONA,20229,STAZZONA (20229)
SANT ANDREA DI BOZIO,20212,SANT ANDREA DI BOZIO (20212)
SANT ANDREA DI COTONE,20221,SANT ANDREA DI COTONE (20221)
SANT ANTONINO,20220,SANT ANTONINO (20220)
SAN DAMIANO,20213,SAN DAMIANO (20213)
ST FLORENT,20217,ST FLORENT (20217)
SAN GAVINO D AMPUGNANI,20213,SAN GAVINO D AMPUGNANI (20213)
SAN GAVINO DI TENDA,20246,SAN GAVINO DI TENDA (20246)
SAN GIOVANNI DI MORIANI,20230,SAN GIOVANNI DI MORIANI (20230)
SAN GIULIANO,20230,SAN GIULIANO (20230)
SAN LORENZO,20244,SAN LORENZO (20244)
SAN MARTINO DI LOTA,20200,SAN MARTINO DI LOTA (20200)
SANTA LUCIA DI MERCURIO,20250,SANTA LUCIA DI MERCURIO (20250)
SANTA LUCIA DI MORIANI,20230,SANTA LUCIA DI MORIANI (20230)
SANTA MARIA DI LOTA,20200,SANTA MARIA DI LOTA (20200)
SANTA MARIA POGGIO,20221,SANTA MARIA POGGIO (20221)
SAN NICOLAO,20230,SAN NICOLAO (20230)
SANTO PIETRO DI TENDA,20217,SANTO PIETRO DI TENDA (20217)
SANTO PIETRO DI TENDA,20246,SANTO PIETRO DI TENDA (20246)
SANTO PIETRO DI VENACO,20250,SANTO PIETRO DI VENACO (20250)
SANTA REPARATA DI BALAGNA,20220,SANTA REPARATA DI BALAGNA (20220)
SANTA REPARATA DI MORIANI,20230,SANTA REPARATA DI MORIANI (20230)
TAGLIO ISOLACCIO,20230,TAGLIO ISOLACCIO (20230)
TALASANI,20230,TALASANI (20230)
TALLONE,20270,TALLONE (20270)
TARRANO,20234,TARRANO (20234)
TOMINO,20248,TOMINO (20248)
TOX,20270,TOX (20270)
TRALONCA,20250,TRALONCA (20250)
URTACA,20218,URTACA (20218)
VALLECALLE,20232,VALLECALLE (20232)
VALLE D ALESANI,20234,VALLE D ALESANI (20234)
VALLE DI CAMPOLORO,20221,VALLE DI CAMPOLORO (20221)
VALLE DI ROSTINO,20235,VALLE DI ROSTINO (20235)
VALLE D OREZZA,20229,VALLE D OREZZA (20229)
VALLICA,20259,VALLICA (20259)
VELONE ORNETO,20230,VELONE ORNETO (20230)
VENACO,20231,VENACO (20231)
VENTISERI,20240,VENTISERI (20240)
VENZOLASCA,20215,VENZOLASCA (20215)
VERDESE,20229,VERDESE (20229)
VESCOVATO,20215,VESCOVATO (20215)
VEZZANI,20242,VEZZANI (20242)
VIGNALE,20290,VIGNALE (20290)
VILLE DI PARASO,20279,VILLE DI PARASO (20279)
VILLE DI PIETRABUGNO,20200,VILLE DI PIETRABUGNO (20200)
VIVARIO,20219,VIVARIO (20219)
VOLPAJOLA,20290,VOLPAJOLA (20290)
